,0
88,Біреуді көркі бар деп жақсы көрме
89,Лапылдап көрсе қызар нәпсіге ерме
90,Әйел жақсы болмайды көркіменен
91,Мінезіне көз жетпей көңіл бөлме
92,Бір күшті көп тентекті жыға алмай жүр
93,Іште жалын дерт болып шыға алмай жүр
94,Арақ ішкен мас болған жұрттың бәрі
95,Не пайда не залалды біле алмай жүр
96,Жас – қартаймақ жоқ – тумақ туған – өлмек
97,Тағдыр жоқ өткен өмір қайта келмек
98,Басқан із көрген қызық артта қалмақ
99,Бір құдайдан басқаның бәрі өзгермек
100,Наданға арам – ақылды құлаққа ілмек
101,Бұл сөзден ертегіні тез үйренбек
102,Рас сөздің кім білер қасиетін
103,Ақылсыз шынға сенбей жоққа сенбек
104,Интернатта оқып жүр
105,Талай қазақ баласы –
106,Жаңа өспірім көкөрім
107,Бейне қолдың саласы
108,Балам закон білді деп
109,Қуанар ата анасы
110,Ойында жоқ олардың
111,Шариғатқа шаласы
112,Орыс тілі жазуы –
113,Білсем деген таласы
114,Прошение жазуға
115,Тырысар келсе шамасы 
116,Ынсапсызға не керек
117,Істің ақ пен қарасы
118,Нан таппаймыз демейді
119,Бүлінсе елдің арасы
120,Иждиһатсыз михнатсыз
121,Табылмас ғылым сарасы
122,Аз білгенін көпсінсе
123,Көп қазаққа епсінсе
124,Кімге тиер панасы
125,Орыс теріс айтпайды
126,Жаман бол деп оларды
127,Қаны бұзық өзі ойлар
128,Қу менен сұм боларды
129,Орыста қалар жаласы
130,Бұл іске кім виноват
131,Я Семейдің қаласы
132,Я қазақтың аласы
133,Ойында жоқ бірінің
134,Салтыков пен Толстой
135,Я тілмаш я адвокат
136,Болсам деген бәрінде ой
137,Көңілінде жоқ санасы
138,Ақылы кімнің бар болса
139,Демес мұны тілі ащы
140,Айтыңызшы болсаңыз 
141,Здравомыслящий
142,Акыл айтпай ма ағасы
143,Бір қүдайға сыйынып
144,Кел балалар оқылық
145,Оқығанды көңілге
146,Ықыласпен тоқылық
147,Істің болар қайыры
148,Бастасаңыз Аллалап
149,Оқымаған жүреді
150,Қараңғыны қармалап
151,Кел балалар оқылық
152,Оқығанды көңілге
153,Ықыласпен тоқылық
154,Желсіз түнде жарық ай
155,Сәулесі суда дірілдеп
156,Ауылдың жаны терең сай
157,Тасыған өзен күрілдеп
158,Қалың ағаш жапырағы
159,Сыбырласып өзді өзі
160,Көрінбей жердің топырағы
161,Құлпырған жасыл жер жүзі
162,Тау жаңғырып ән қосып
163,Үрген ит пен айтаққа
164,Келмеп пе едің жол тосып
165,Жолығуға аулаққа
166,Таймаңдамай тамылжып
167,Бір суынып бір ысып
168,Дем ала алмай дамыл қып
169,Елең қағып бос шошып
170,Сөз айта алмай бөгеліп
171,Дүрсіл қағып жүрегі
172,Тұрмап па еді сүйеніп
173,Тамаққа кіріп иегі
174,Ақ киімді денелі ақ сақалды
175,Соқыр мылқау танымас тірі жанды
176,Үсті басы ақ қырау түсі суық
177,Басқан жері сықырлап келіп қалды
178,Дем алысы   үскірік аяз бен қар
179,Кәрі құдаң   қыс келіп әлек салды
180,Ұшпадай бөркін киген оқшырайтып
181,Аязбенен қызарып ажарланды
182,Бұлттай қасы жауып екі көзін
183,Басын сіліксе қар жауып мазаңды алды
184,Борандай бұрқ сарқ етіп долданғанда
185,Алты қанат ақ орда үй шайқалды
186,Әуес көріп жүгірген жас балалар
187,Беті қолы домбығып үсік шалды
188,Шидем мен тон қабаттап киген малшы
189,Бет қарауға шыдамай теріс айналды
190,Қар тепкенге қажымыс қайран жылқы
191,Титығы құруына аз ақ қалды
192,Қыспен бірге тұмсығын салды қасқыр
193,Малшыларым қор қылма итке малды
194,Соныға малды жайып күзетіңдер
195,Ұйқы өлтірмес қайрат қыл бұз қамалды
196,Ит жегенше Қондыбай Қанай жесін
197,Құр жібер мына антұрған кәрі шалдыКүз
198,Сұр бұлт түсі суық қаптайды аспан
199,Күз болып дымқыл тұман жерді басқан
200,Білмеймін тойғаны ма тоңғаны ма
201,Жылқы ойнап бие қашқан тай жарысқан
202,Жасыл шөп бәйшешек жоқ бұрынғыдай
203,Жастар күлмес жүгірмес бала шулай
204,Қайыршы шал кемпірдей түсі кетіп
205,Жапырағынан айрылған ағаш қурай
206,Біреу малма сапсиды салып иін
207,Салбыраңқы тартыпты жыртық киім
208,Енесіне иіртіп шуда жібін
209,Жас қатындар жыртылған жамайды үйін
210,Қаз тырна қатарланып қайтса бермен
211,Астында ақ шомшы жүр ол бір керуен
212,Қай ауылды көрсең де жабырқаңқы
213,Күлкі ойын көрінбейді сейіл серуен
214,Кемпір шал құржаң қағып бала бүрсең
215,Көңілсіз қара суық қырда жүрсең
216,Кемік сүйек сорпа су тимеген соң
217,Үйде ит жоқ тышқан аулап қайда көрсең
218,Күзеу тозған оты жоқ елдің маңы
219,Тұман болар жел соқса шаң тозаңы
220,От жақпаған үйінің сұры қашып
221,Ыстан қорыққан қазақтың құрысын заңы
222,Жаздыгїн шілде болєанда
223,Кґкорай шалєын бјйшешек
224,Ўзарып ґсіп толєанда;
225,Кїркіреп жатќан ґзенге
226,Кґшіп ауыл ќонєанда;
227,Шўрќырап жатќан жылќыныѕ
228,Шалєыннан жоны ќылтылдап
229,Ат айєырлар биелер
230,Бїйірі шыєып ыѕќылдап
231,Суда тўрып шыбындап
232,Кўйрыєымен шылпылдап
233,Арасында кўлын тай
234,Айнала шауып бўлтылдап
235,Жоєары тґмен їйрек ќаз
236,Ўшып тўрса сымпылдап
237,Ќыз келіншек їй тігер
238,Бўрала басып былќылдап
239,Аќ білегін сыбанып
240,Јзілдесіп сыѕќылдап
241,Мал ішінен айналып
242,Кґѕілі жаќсы жайланып
243,Бай да келер ауылєа
244,Аяѕшылы жылпылдап;
245,Сабадан ќымыз ќўйдырып
246,Ортасына ќойдырып
247,Жасы їлкендер бір бґлек
248,Кеѕесіп кїліп сылќылдап
249,Жалшы алдаєан жас бала
250,Жаєалайды шешесін
251,Ет јпер деп ќыѕќылдап
252,Кґлеѕке ќылып басына
253,Кілем тґсеп астына
254,Салтанатты байлардыѕ
255,Самаурыны бўрќылдап
256,Білімділер сґз айтса
257,Бјйгі атындай аѕќылдап
258,Ґзгелер басын изейді
259,Јрине деп маќўлдап
260,Аќ кґйлекті таяќты
261,Аќсаќал шыєар бір шеттен
262,Малыѕды јрі ќайтар деп
263,Малшыларєа ќаѕќылдап
264,Бай байєўсым десін деп
265,Шакырып ќымыз берсін деп
266,Жарамсаќсып жалпылдап
267,Шапандарын белсенген
268,Асау мініп теѕселген
269,Жылќышылар кеп тўрса
270,Таѕертеѕнен салпылдап
271,Мылтыќ атќан ќўс салєан
272,Жас бозбала бір бґлек
273,Су жаєалап ќутыѕдап
274,Ќайырып салєан кґк ќўсы
275,Кґтеріле бергенде
276,Ќаз сыпырса жарќылдап
277,Ґткен кїнніѕ бјрі ўмыт
278,Ќолдан келер ќайрат жок
279,Баєанаєы байєўс шал
280,Ауылда тўрып кїледі
281,Ќошемет ќылып ќарќылдап
282,Саған таныс адыр қырқа беттегі
283,Жыңғыл жусан тобылғылар көктеді
284,Рақатта іші сырты ауылдың
285,Қуантсаңшы сен де сәулем кеп мені
286,Сағынышым   тек өзіңсің бір ғана
287,Ұшып жетті қарлығаш та тырна да
288,Саралақаз жұмыртқалап үлгірді
289,Кеше екеуміз асыр салған жылғаға
290,Ең алғашқы нөсер де өтті себелеп
291,Әлдеқашан гүлге қонды көбелек
292,Байлық бақыт   бәрі де бар ауылда
293,Әттең сәулем тек сен жоқсың не керек
294,Сыр
295,Күрсініп көкірегім жылайды ішім
296,Өсем бе өшемін бе құдай білсін
297,Қанды дағын жүректің қалдырайын
298,Қаласа біреу міреу сұрай жүрсін
299,Көрсін де жүрегімнің аққан қанын
300,Ақ қағазда жол жол боп жатқан дағын
301,Байқап бір қарасын да іздегендер
302,Жаудырсын мақтауларын даттауларын
303,Еркелеп мен өмірді кешіп жүрем
304,Шаттығым мұқым да бар
305,Несін бүгем
306,Кей кейде сүріндім де түңілдім де
307,Алайда жоғалтпадым есімді мен
308,Жақпадым жауыздықпен аққа қара
309,Жатсынып жатқаным жоқ жатқа нала
310,Гаваньға құлап түскен ақ шағала  
311,Жырымды тірілтем деп әурелендім
312,Мастанбай ақын деген атқа ғана
313,О Муза
314,Тағдырыма иемісің
315,Күрсініп көкірегім күйеді ішім
316,Мен сені жаңартам деп келгенім жоқ
317,Сен мені жаралғансың сүю үшін
318,Солай
319,Бұдан бөлек қай жерден ем таба алам
320,Тіптен менің кеткім жоқ емханадан
321,Көре көре жалыққам мен қаладан
322,Жүре жүре шаршағам кең даладан
323,Туыс жолдас дос құрдас   бәрі бөтен
324,Жанашырым   Анам мен жарым екен
325,Ауыратын жүрек те бауыр да емес
326,Қызылала қан болған жаным екен
327,Емханадан кеткім жоқ қайда барам
328,Бәрі де жат бірі жоқ аймалаған
329,Отанымның caп берген ордасын мен
330,Жұмыс орным деймін де пайдаланам
331,Тегін төсек жатқаным тегін тағам
332,Дәрігер де дәрі де тегін маған
333,Тегін жарық буфетім   жұмыс орным
334,Мен осында қаламын ебін табам
335,Ұмытамын кім қандай Жүз екенін
336,Мен осында өзімді күзетемін
337,Қайырымды қарындасқа көмекші боп
338,Сырқаттарды түн бойы күзетемін
339,Қайда барам мен мынау сұрымменен
340,Мен ақынмын
341,Жырыммен құнымменен
342,Күні бойы аралап бөлмелерді
343,Сырқаттарды емдеймін жырымменен
344,Солай
345,Тарту
346,Бет 1  Барлығы 2 бет
347,Жамбас пұл төлеп жатақта жүрген ақынбыз
348,Жадырап келіп жаңа үйге кіріп жатырмыз
349,Әбекем қайда Күнекем қайда ойбай тез
350,Той жасап берем тортыңды қой да шақырғыз
351,Әбекең келді Күнекең келді тойладық
352,Әзіл де болды күлкі де болды ойнадық
353,Бәрі де болды ау осы үйді салған адамның
354,Бірінің де атын есімізге алып қоймадық
355,Қадірлі аға қайырымды жан ғой Әбекең
356,Күнекең болса еркелеп жүрген іні екен
357,Апыр ау деймін алайда осы қуаныштың
358,(Әдеби тілмен) авторы нағыз кім екен
359,Еденді сырлап іргені сылап қалаған
360,Шатырын жауып орнатып газды жаңадан
361,Бет 2  Барлығы 2 бет
362,Терезе салып асфальт төсеп аулаға
363,Екі үш жыл бойы сіңірді ау еңбек сан адам
364,Аязда тонды ау аптапта күйді ау жондары
365,Азаппен жүріп жарылды ау беті қолдары
366,Сезеді ішім терменен осы үй орнады
367,Сол жандар бізбен амал не бірге болмады
368,Жарығын суын жылуын бізге жіберді
369,Жайсаңдар жүр ау қуантып тағы біреуді
370,Қарсы алар ма еді қайрымды құрылысшыны
371,Патшадай күтіп жолына төсеп кілемді
372,Жадырап жылып жаңа үйде тұрмыз аманбыз
373,Адамды сүйіп адаммен жүрген адамбыз
374,Қадірлі жандар тыс қалды неге назардан
375,Өкініп тұрмыз соңынан енді соған біз
376,Музаға
377,Отырғанын қарашы күйім келмей
378,Қайда кеттің
379,О Муза Құйын желдей
380,Аузымды ашсам өкпемнен жел үреді
381,Қаңыраған иесіз диірмендей
382,Мұздатады жанымды бұйым көрмей
383,Жел үреді желпініп көрік кеудем
384,Күйім келмей отырмын неліктен мен
385,О Муза
386,Қайдасың сен желік берген
387,Жалын мен отқа ғана ерік берген
388,Серігім қайдасың сен сеніп келген
389,Дәптер жатыр парағы аударылмай
390,Аударылмай шынымен қалғаны ма ай
391,Ойлар жатыр еңсемді бір көтертпей
392,Тонна тонна қорғасын салмағындай
393,О Муза
394,Әуреге салғаның ай
395,Күтемін сенен үміт сенен жігер
396,Қисаң маған биік пен тереңді бер
397,О Муза
398,Маған алыс сөреңді бер
399,Ғайыптан кел де мені демеп жібер
400,Беташар
401,Боз ала ауыл жастары
402,Бозбала күнін тастады
403,Боз жаулық жауып қыздарға
404,Шаңырақ құра бастады
405,Жиылып жекжат ой қырдан
406,Ауылда күнде той думан
407,Жалғыз ұлы әкенің
408,Жалғыз атын да сойдырған
409,Үйленді біздің ағай да
410,Үйленбе деуге қарай ма
411,Бәсіре жалғыз көк тайын
412,Сойғызып жатыр сарайда
413,Той жасап бермек қалайда
414,Ағайдың тойы жасалды
415,Арманым еді қашанғы
416,Қуанған көңлі босанды
417,Әжем де көзге жас алды
418,Келіннің бетін ашқан ды
419,Иіліп байғүс жасқанды
420,Жасқанды дағы жас қалды
421,Ертесі соғыс басталды
422,Алды да кетті жастарды
423,Мен сені сағынғанда
424,Мен сені сағынғанда
425,Қарамай жауындарға дауылдарга
426,Қарсы қарап жүземін ағындарға
427,Кеудемде қимылдаған жаным барда
428,Мен сені сағынғанда
429,Бір минут та қақым жоқ дамылдарға
430,Мен сені қызғанамын
431,Қызғаныштан мұз шайнап
432,Тұз жаладым
433,Шаңқылдап алдымнан шық
434,Ана қыран
435,Алыстан келеді ұшып мұзбалағың
436,Тәкаппар ең өрлікке бола туған
437,Жет тездеп
438,Дауыл тұрғыз қанатыңнан
439,Сен   мендік мен   сендікпін ана қыран
440,Қыранбыз қырандардан жаратылған
441,Сағыныштың сағымын жамылғанда
442,Қарамай қара нөсер қағынғанға
443,Саған ұшам
444,Қалмайды сабыр жанда
445,Мен сені сағынғанда сағынғанда
446,Жалғыз көкек
447,Жетімсіреп жем іздеп балапанға
448,Жалғыз көкек жүретін жаға талда
449,Әлдекімді жоқтайтын күн батарда
450,Әлдекімді жоқтайтын таң атарда
451,Иесіз қалған бұзылған тамға барып
452,Қонушы еді қонағын қамдап алып
453,Жоқтаушы еді оңаша отырып ап
454,Оқшау шетте ұясы талда қалып
455,Сұңқыл үнді сұрша құс жан   Отанын
456,Ойландырып тастайтын жаға талын
457,Оңашада отырып жоқтаймын деп
458,Оятатын ұядан балапанын
459,Сұқ саусақтай балапан ес білер ме
460,Сұрша құстың сұм даусы есті желде
461,Ұясында құттай құс қобалжиды
462,Таныс үнді шалғайдан естігенде
463,Қайдан білсін әкесі жем бергенін
464,Жем бергенін Қаршыға өңгергенін
465,Қайдан білсін шешесі шер бергенін
466,Түйір дәндей жүрегі тулап жатыр
467,Ұядағы титімдей шерменденің
468,Жетімсіреп жем іздеп балапанға
469,Жалғыз көкек жүретін жаға талда
470,Әлдекімді жоқтайтын күн батарда
471,Әлдекімді жоқтайтын таң атарда
472,Несіне асығады
473,Күн қайда асығады
474,Нендей күш күннің нұрын жасырады
475,Қызарып соңғы сәуле шашырады
476,Күн түйе алмай барады шашын әлі
477,Несіне асығады
478,Көкжиекке ымырт кеп асылады
479,Түн келіп дүниені басынады
480,Күн неге асығады асығады
481,О жарық дүнием ай
482,Қуатым ай
483,Несіне асығасың тұра тұрмай
484,Өмірді басқа арнаға бұратындай
485,Түннен қорқам
486,Мәңгілік тұратындай
487,Тоқташы
488,Тоқтай тұршы қуатым ай
489,Білмеймін асығатын Жер ме Күн бе
490,Белгісіз не күш мені тербетуде
491,Қара жер қашан өткен күнді айналып
492,Қозғалмай ақ тұрмын ғой жер бетінде
493,Жетпедім ұшығына күнде ойланып
494,Жер қайда асығады күнді айналып
495,Тірлікте қара түннің керегі не
496,Кетпей ме онан дағы күнге айналып
497,Алматының аспаны
498,Тал түсте
499,Бозғыл деңгейде
500,Шуағын жерге төккен Күн
501,Жылымық қыста кей кейде
502,Иісі келер көктемнің
503,Ұмыттырар ақпанды
504,Боз аспан онан боз дала
505,Осынау ғажап шақтарды
506,Қозғама тәңір қозғама
507,Оралады өткен күз
508,Қыс келеді
509,Төсі қар
510,Ұзатылған көктем қыз
511,Қайта оралса несі бар
512,Ішке сыйған баламыз
513,Сыртымызға сыяды
514,Кең ғой біздің даламыз
515,Зиялы да ұялы
516,Қайдан келсін бірақ та
517,Мезгіл жетпей қыз көктем
518,Қарашы анау қыратқа
519,Арқасына мұз шөккен
520,Алматының аспаны
521,Бізді әзірге тұр алдап
522,Қайың терек бастары
523,Барады әне қыраулап
524,Біздің көктем
525,Көктем келді ауылға мамырлап бұлт
526,Таң тамаша дүние дабырлап жұрт
527,Көктем келді Өмірдің келешегі  
528,Көкпен бірге дүркіреп төл өседі
529,Сағым қыздың ап қашып орамалын
530,Асыр caп тентек жігіт   жел еседі
531,Көктем келіп ауылға қыз көрікті
532,Таң тамаша дүние жүзге еніпті
533,Асқар ала таулардан асып әрі
534,Аяз атаң барады мұз бөрікті
535,Көктем көктем Қыз   көктем ауылдағы
536,Өлең жыр әзіл күлкі ауыл маңы
537,Тиянақ таппай ұшқан көк көбелек
538,Көк гүлге қонды дағы дамылдады
539,Біз деген досым
540,Тағдыры қызық халықпыз
541,Халқының өзі қорғасын құяр қалыппыз
542,Екінің бірі бармайтын жерге барып біз
543,Жанбайтын жерде жаныппыз
544,Біз деген досым
545,Тағдыры қызық халықпыз
546,Білгендер білсін
547,Білместер мейлі білмесін
548,Қолдасын мейліқорласын мейлікүндесін
549,Қара тастан да мейірім күткен ақынды
550,Қатыгез жандар ашынтып алып жүрмесін
551,Антейміз біздер
552,Жеріміз біздің   халық ты
553,Хальіқсыз біздің Антейлігіміз қауіпті
554,Жұртына тастап кетпесе болды көшкенде
555,Берендері үшін қорғасын құйған қалыпты
556,Адасқан шағала
557,Жаным ау қайдан жүрсің ақ шағала
558,Келсең кел бұл өлкені жат санама
559,От суы мол осынау байтақ алқап
560,Сая болған батырға патшаға да
561,Қылша мойын жаным ауқылыш қанат
562,Қимай мені келдің бе туыс санап
563,Ақ ниетпен келдің ғой қалайдағы
564,Шашсам ба екен күн нұрын уыстап ап
565,Айдыным жоқ төсіңмен шимайлаған
566,Аялайды әлдилеп мидай далам
567,Толқынға қонақтаған ерке тотай
568,Толқынсыз қара суға қимай барам
569,Кім екен саған еткен зорлық қысым
570,Адасқан Атыраудан зарлықпысың
571,Көлшігім бұлақтарым   бәрі саған
572,Адасқан Отанынан зарлық құсым
573,Қонбасыңды білемін қыр басыңа
574,Толқының жоқ жаныңмен сырласуға
575,Бөрі де табылар ау бүл өмірден
576,Тек Отаның жетпес ті бір басыңа
577,Мына қасқа
578,Қор болған жылдарым ай күндерім ай
579,Асауға ауыздықсыз мінгенім ай
580,Мына қасқа бәрін де біле тұрып
581,Мына қасқа бірін де білмеуін ай
582,Шынымен түсінбей ме мына қасқа
583,Мына   көз мына   жүрек мына   басқа
584,Мына қасқа шынымен түсінбей ме
585,Бұлбұлдың қонбайтынын қу ағашқа
586,Мына   жүрек мына   көз мына баста
587,Ненің барын біледі мына қасқаң
588,Сезгіштігін білдіріп алам ба деп
589,Тас жүрегін жасырар қына басқан
590,Аламын деп қасқаның тас қамалын
591,Тас жүрекпен қашанғы тас боламын
592,Тас жүрекке табынтып тастамағын
593,Жүрегін бер тәңірім жас баланың
594,Сағындым сені сәби кездерім ай
595,Сандалтып мені тастап безгенің ай
596,Мына қасқа бәрін де сезіп тұрып
597,Мына қасқа бірін де сезбеуін ай
598,Нені аңсаймын
599,Нені аңсаймын
600,Туған өлке туған жұрт сені аңсаймын
601,Heгe аңсаймын білмеймін неге аңсаймын
602,Ұл де мейлің адасқан құл де мейлің
603,Сені аңсаймын туған ел онан сайын
604,Қуат берген дәмің мен тұзың маған
605,Қаймағыңды аңсаймын бұзылмаған
606,Гүлін сүйем шалғынның бүрін сүйем
607,Үнін сүйем масаңның ызыңдаған
608,Сені аңсаймын қайнаған ақ бастаулар
609,Ақ бас таулар   самайын ақ басқандар
610,Сені аңсаймын қазіргі ақ бас шалдар
611,Бұрынғы өреден құрт ап қашқандар
612,Су кешіп жалаң аяқ от басқандар
613,Сен болмасаң не етер ем
614,Мәңгілікке бақытсыз боп өтер ем
615,Өмірден бұл өксуменен кетер ем
616,Құс ұясыз
617,Жыртқыш інсіз болмайды
618,Отансыз жан өмірінде оңбайды
619,Өзін өзі қорлайды да сорлайды
620,Тірі адамға   сол қайғы
621,Күн көреді
622,Әкесіз де анасыз
623,Өмір сүрер
624,Әйелсіз де баласыз
625,Ал Отансыз  
626,Нағыз сорлы панасыз
627,Білесің бе
628,Отанның сен не екенін
629,(Екі өмір жоқ әрине жоқ екі өлім)
630,Екі Отан жоқ
631,Жалғыз Отан   мекенің
632,Көктем де келер
633,Көп кешікпей көктем де келер енді
634,Көгеретін тіршілік көгереді
635,Қу бұтағы арса арса кәрі еменге
636,Келер көктем білмеймін не береді
637,Көп кешікпей көктем де келер енді
638,Көгереді ауылдың төңірегі
639,Ерте кеткен досымның қабірі тұр
640,Келер көктем білмеймін не береді
641,Көп кешікпей көктем де келер енді
642,Барлық нұрын көл көсір төгер енді
643,Сағынышын сарыққан жапа жалғыз
644,Менің жесір жеңгеме не береді
645,Көгереді
646,Барлығы көгереді
647,Ой да қыр да даланың төбелері
648,Әлі құрып баратқан ауру досқа
649,Осы көктем білмеймін не береді
650,Көп кешікпей көктем де келіп қалар
651,Есінетіп есіртіп ерікті алар
652,Азан қазан аспанның қоңырауы
653,Жақсылықтан тұрса игі беріп хабар
654,Наурыз
655,Ақпан кетті араз боп наурызбен
656,Наурыз жүр жоғалған бағын іздеп
657,Көктем жетті көрісіп жанын үзген
658,Қыс аттанды қоштасып тағы бізбен
659,Көктем жетті көл көсір шуақ қуып
660,Қыс барады қиылып жылап тұрып
661,Шатырында үйлердің наурыз жүр
662,Мұз көргісін ақпанның лақтырып
663,Тозған тонын бойына кие алмай бір
664,Қайда барса қарт Аяз сыя алмай жүр
665,Асқар таулар атасын шақырады
666,Ой мен қырын атасы қия алмай жүр
667,Қарар емес наурыз атағына
668,Алар емес ақпанды қатарына
669,Күні бойы жылаған қарт пенденің
670,Түні бойы мұз тоңды сақалына
671,Өзен
672,Таулардан өзен ағар сарқыраған
673,Айнадай сәуле беріп жарқыраған
674,Жел соқса ыстық соқса бір қалыпта
675,Аралап тау мен тасты арқыраған
676,Көңілің суын ішсең ашылады
677,Денеңде бар дертінді қашырады
678,Өксіген оттай жанып жануарлар
679,Өзеннен рақат тауып басылады
680,Қынарда тілсіз тұрған тоғайлар да
681,Шуылдап желмен бірге бас ұрады
682,Он мың мал айдап өтсең лай қалмайды
683,Тасыса су бармаған сай қалмайды
684,Тасыған өзен судың қуатымен
685,Көк шығып шөп бітпеген жай қалмайды
686,Ел қыстап күн көреді жаныбында
687,Дәм болар алуан   алуан балығында
688,Тас таста алтын таста сынамаққа
689,Сонда да аққан өзен қалыбында
690,Құдіретін құдайымның көресін бе
691,Не нәжіс тоқтар өзен денесінде
692,Арыстан демалуға суға кірсе
693,Балықтар шымшып ойнар терісіне
694,Әй жігіттер
695,Бет 1  Барлығы 2 бет
696,Әй жігіттер үлгі алмаңыз
697,Азған елдің ішінен
698,Алыс   алыс қашыңыздар
699,Зияндасты кісіден
700,Жақсыны көзбен салмаңыздар
701,Жақсыдан қапыл қалмаңыздар
702,Өзі болған ерлердің
703,Аяғынан алмаңыздар
704,Әр елге әр жұртқа алтын сақа табылмас
705,Бас ауырса бақсыларды
706,Алып келіп бақтырарсың
707,Жазықсыз жануарды сойып
708,Өкпеменен қақтырырсың
709,Жын   бәлекет қашады деп
710,Тұмар алып тақтырарсың
711,Білмес надан еткен істен
712,Бет 2  Барлығы 2 бет
713,Ешбір қайыр табылмас
714,Алған жарың жаман болса
715,Бір Тәңірге көп налырсың
716,Жарым сондай болса екен деп
717,Көрінгенге көз саларсың
718,Әз елде маңдайыңа нені жазса соны аларсың
719,Бәріңізге қасы қара қызыл жүзді табылмас
720,Катының өлсе қарыс ұрып қаларсың
721,Аны   мұны қармалап
722,Және біреуді аларсың
723,Бір кеткен соң қамқор әке   шешең табылмас
724,Азған елдің хандары
725,Бет 1  Барлығы 3 бет
726,Азған елдің хандары
727,Тақ үстінде отырғандары
728,Жарлыдан алып байларға
729,Сыйлар берсе керек   ті
730,Азған елдің қожасы
731,Қыдырып келер есікке
732,Бұл үйде кім бар екен деп
733,Көзін салар тесікке
734,Балаларын бастырып
735,Қатындарын састырып
736,Төрге қарай ұмтылып
737,Тамақ үшін қылғынып
738,Дуа қылса керек   ті
739,Азған елдің молдасы
740,Үлкен болар сәлдесі
741,Аса бауыр қылмаңыз
742,Оның рас емес олдасы
743,Көрмей   білмей біреуге
744,Куәлік берсе керек   ті
745,Бет 2  Барлығы 3 бет
746,Азған елдің биінің
747,Барар болсаң алдына
748,Алым берсең тамағына
749,Қарар ма ол сенің әліңе
750,Қорадағы малыңа
751,Төре берсе керек   ті
752,Азған елдің байлары
753,Ұлық тұтар басын   ай
754,Қайда дәулетті адам болса
755,Берер соған асын   ай
756,Көзін сүзіп бір кәріп
757,Төгіп келсе жасын   ай
758,Бермек түгел бейшараны
759,Масқара қылса керек   ті
760,Береке кеткен елдерде
761,Күн қысқарса керек   ті
762,Алатаудай атаға
763,Ұл қышқырса керек   ті
764,Бала бала бала деп
