,0
35,"Алматыда такси жүргізушісі скотч көмегімен бейнебақылау жүйесін алдамақ болған, - деп хабарлайды Tengrinews.kz тілшісі қалалық полиция департаментінің"
36,"Алматыда әке мен оның ересек баласы мопед ұрлаумен айналысқан, полиция осындай бірнеше дерек болғанын мәлімдеді, - деп хабарлайды Tengrinews.kz"
37,"""Ирина Кайратовна"" тобының мүшесі Азамат Маркленов Алматыдағы концерттегі әрекеті үшін қазақстандықтардан кешірім сұрады, - деп хабарлайды Tengrinews.kz"
38,"Желіде Алматыда Toyota Camry көлігі кафенің жазғы алаңын қиратып өткені түсірілген видео тарады, - деп хабарлайды Tengrinews.kz тілшісі."
39,"Алматыда адам өлтірмек болғандар ұсталды, - деп хабарлайды Tengrinews.kz тілшісі Бас көлік прокуратурасына сілтеме жасап."
40,"Алматыда 2-3 балдық жер сілкінісі тіркелді, - деп хабарлайды Tengrinews.kz тілшісі БҒМ ҒК СЭМ ММ сейсмикалық станциялар желісіне сілтеме жасап."
41,Тоқаев әлемдегі ірі Binance криптобиржасының негізін қалаушы әрі бас директоры Чанпен Чжаоны қабылдады. Шенеунік Қызылорда әкімімен туыстық
42,"Алматыда Қазақстандағы алғашқы крематорийдің ашылу мерзімі тағы кейінге қалдырылды, - деп хабарлайды Tengrinews.kz тілшісі."
43,"Қазақстан мектептерінде оқу жылының аяқталуына арналған салтанатты жиындар өтіп жатыр, - деп хабарлайды Tengrinews.kz тілшісі."
44,Алматы облысында Қызыл кітапқа енген қара құс пен жас Гималай грифі (құмай) суретке түсірілді. Фотограф Дмитрий Доценко әлеуметтік желілердегі
45,"""Алма"" коттедж қалашығының тұрғындары көппәтерлі үйдің пайдалануға берілуіне қарсы болып отыр. Себебі ол тұрғындардың үйлері орналасқан беткейге"
46,Алматы прокуратурасы қаланың жер ресурстарын басқару департаментіне Әл-Фараби атындағы Қазақ ұлттық университетінің (ҚазҰУ) жер учаскесін беру
47,"Алматыда ағаштардың құлауы жиілеп кетті, - деп хабарлайды Tengrinews.kz тілшісі. Мысалы, 18 наурызда Алматыда ағаш балалар алаңына құлады. 24"
48,"Алматыда жүк көлігінің жүргізушісі қызды қағып өлтірді, - деп хабарлайды Tengrinews.kz тілшісі."
49,"Өмір бойына бас бостандығынан айырылған алматылық Игорь Дужнов Қостанай облысында жазасын өтеп жатыр, - деп хабарлайды Tengrinews.kz тілшісі."
50,"Алматы-Өскемен тасжолындағы құбырдың шайылу дерегіне қатысты қызметтік тексеріс басталды, - деп хабарлайды Tengrinews.kz тілшісі."
51,"Алматыда 22 мамырда жауын-шашын салдарынан бес су тасқыны тіркелді. Оқиға орнында коммуналдық қызметтер жұмыс істеп жатыр, - деп хабарлайды"
52,"22 мамырда Жарма ауданындағы Алматы - Өскемен тасжолында жол апаты болды, - деп хабарлайды Tengrinews.kz тілшісі Arnapress.kz басылымына сілтеме"
53,Қаңтардағы тәртіпсіздіктер кезінде жарақат алған Алматы қаласы спорт басқармасының басшысы Рүстем Байсейітов денсаулық жағдайына байланысты
54,Желіде Алматыда 132 метр биіктіктен түсірілген панорамалық видео таралып жатыр. Kaz.tengritravel.kz ерекше видеоның қалай түсірілгені туралы
55,"Алматыда ""Қазақстан"" телеарнасының ғимараты cүріледі. Оның орнына телеарнаның жаңа ғимараты тұрғызылады, - деп хабарлайды Tengrinews.kz"
56,Тоқаев отандық бизнес өкілдерімен кездесті. Қазақстандық университет өрескел заңбұзушылықтарға барған. Танымал ғалым Әнуар Ғалиев өмірден
57,"Алматылық өртсөндірушілер Hotel Plaza Almaty қонақүйінен 57 адамды құтқарды. Өрт төменгі қабатта орналасқан саунадан шыққаны белгілі болды,"
58,"Әл-Фараби даңғылында жантүршігерлік жол апатынан бір адам қаза тапқан. Бұл туралы Алматы қаласы полиция департаментінің баспасөз қызметі мәлімдеді,"
59,Қожамқұлов пен Қарасай батыр көшелері қиылысында орналасқан Plaza Hotel Almaty қонақүйінде өрт шықты. Оқиға орнынан түсірілген видео zhest-kz
60,"Алматының Әл-Фараби даңғылында болған жантүршігерлік жол апатының видеосы желіде тарап жатыр, - деп хабарлайды Tengrinews.kz тілшісі."
61,"Алматы әкімі Ерболат Досаев Наурызбай ауданының тұрғындарымен кездесуде қаладағы жаңа көшелер қалай ұзартылып жатқанын айтты, - деп хабарлайды"
62,"Алматы прокурорлары балаларды қорғау мақсатында тыйым салынған 100-ден аса порнографиялық сайтты бұғаттады, - деп хабарлайды Tengrinews.kz тілшісі."
63,"Алматыда 41 жастағы бизнесменнен 260 мың доллар бопсалады деген күдікті ұсталды, - деп хабарлайды Tengrinews.kz тілшісі қалалық ПД"
64,"Алматының табиғат қорғау прокуратурасы таулы аудандардағы құрылысқа тыйым салуды ұсынды, - деп хабарлайды Tengrinews.kz тілшісі прокуратураға"
65,Тоқаев Қырғызстанға ресми сапармен барады. Қазақстан коронавируспен күреске қанша қаражат жұмсады? Түркістандық тұрғын Конго-Қырым геморрагиялық
66,Балқашқа субсидияланатын әуе рейстерді орындау 14 шілдеге дейін ұзартылды. Қазақстанның екі қаласынан - Нұр-Сұлтан және Алматыдан ұшақтар 2022
67,"Алматыда ""Атакент"" маңында алапат өрт шықты. Куәгерлер оқиға видеосын таратып жатыр, - деп хабарлайды Tengrinews.kz тілшісі."
68,"Алматыда салмағы 6020 келі болатын қыз дүниеге келді, - деп хабарлайды Almaty.tv."
69,"Алматыда көші-қон орталығы алдындағы кезек видеоға түсірілді, - деп хабарлайды Tengrinews.kz тілшісі."
70,"Кеңес және ресейлік эстрада әншісі Лев Лещенко Алматыдағы Халыққа қызмет көрсету орталығына не үшін келгені белгілі болды, - деп хабарлайды"
71,"Бүгін Алматыда ауа сапасы нашарлайды, - деп хабарлайды 24.kz."
72,"Алматыдағы Абай даңғылы мен Әуезов көшесі қиылысында өрт шықты. Жалын от шыққан аймақта ""Счастье"" мейрамханасы мен ""Центр геометрии"" ТЖО тұрған"
73,Алматыда жедел іздестіру шаралары барысында 30-дан аса зейнеткерді тонаған 38 жастағы ер адам ұсталды. Бұл туралы Алматы қалалық ПД бастығының
74,"Атақты актер Сағат Жылгелдиев өмірден озды, - деп хабарлайды Tengrinews.kz тілшісі Ғ.Мүсірепов атындағы академиялық балалар мен жасөспірімдер"
75,"Прокуратура Бостандық ауданындағы ірі тұрғын үй кешенінің бірін салушыға қатысты сотқа жүгінді, - деп хабарлайды Tengrinews.kz тілшісі Алматы"
76,"Алматы қаласы мен тауларында қатты жауын-шашын, жел болады, - деп хабарлайды Tengrinews.kz тілшісі Алматы ТЖД-ға сілтеме жасай отырып."
77,"Алматыда екі жігіт тақтайшаларда жазылған ескертудерді елемей, қорғаныс қоршауларынан аттап, техникалық аумаққа кіріп, қоршаудағы жолбарысты"
78,Білім және ғылым министрлігі Балалардың құқықтарын қорғау комитетінің төрағасы Есенғазы Иманғалиев пен балалар құқығы жөніндегі штаттан тыс
79,"Алматы әкімдігі ""Алматы паркингіне"" тиесілі қалалық автотұрақтар қалай жұмыс істейтінін түсіндірді, - деп хабарлайды Tengrinews.kz тілшісі."
80,"Құқық қорғаушы Дина Смаилова Facebook желісіндегі парақшасында Алматыдағы жекеменшік мектептердің біріндегі буллинг туралы айтты, - деп хабарлайды"
81,"Алматыдағы жекеменшік мектептердің бірінің әжетханасында бірнеше рет зорланды деген баланың әкесі оқиғаның мән-жайын айтып берді, - деп хабарлайды"
82,"Алматы әкімі Ерболат Досаев Әуезов ауданы тұрғындарымен өткен кездесуде ""Алматы жастары-2022"" бағдарламасы қашан басталатынын айтты, - деп хабарлайды"
83,"Алматы қаласының әкімі Ерболат Досаев Әуезов ауданында орналасқан ""Сары-Арқа"" және ""Момышұлы"" метро станциясы маусымда ашылатынын айтты, - деп"
84,Білім және ғылым министрлігінен жоғары лауазымды шенеуніктер Алматыға ұшып келеді. Олар жекеменшік мектепте зорланды деген бірінші сынып оқушысының
85,"Алматы полициясы қалада ""рэкеттер бандасы"" пайда болғаны туралы ақпаратқа қатысты пікір білдірді, - деп хабарлайды Tengrinews.kz тілшісі."
86,Алматыда рэкеттер атыс шығарды. Оқиғаның мән-жайы тергеліп жатыр. Банда жергілікті кәсіпкерге алым-салық салуға әрекеттенген. Бүгінде бір күдікті
87,Құқық қорғаушы Дина Смаилова Алматыдағы жекеменшік мектептердің бірінде бірінші сынып оқушысын жоғары сынып оқушылары бірнеше күн қатарынан
88,"Алматыда 4 жасар бала жерасты суына толы шұңқырға құлап қайтыс болды, - деп хабарлайды ""Астана"" телеарнасы. "
89,"Алматыда бүгін жауын болып, көшелер мен жекелеген аумақтарды су басты, қазіргі уақытқа дейін кептеліс басылған жоқ. Қала тұрғындары жағдайға"
90,"Алматыда толассыз жауған жауыннан көшелер мен бірнеше ауланы су басты, - деп хабарлайды Tengrinews.kz тілшісі."
91,"Алматыдан Минерал сулар тікелей тұрақты рейс 23 мамырда ашылады. Ұшуды ресейлік ""Азимут"" әуекомпаниясы жүзеге асыруды жоспарлап отыр, - деп"
92,"Іле Алатауында ерлі-зайыпты құтқарылды, - деп хабарлайды Tengrinews.kz тілшісі."
93,Алматыда аса ірі көлемде алаяқтық жасады деген күдікпен 26 жастағы әйел ұсталды. Бұл туралы Алматы Полиция департаменті бастығының орынбасары
94,"Алматыдағы ""Әйгерім"" тұрғын үй кешенінің тұрғындары техникалық қабаттарды заңсыз алғандарға шағымданды. Жаңа иелері оны пәтерлерге айналдырып,"
95,"Елді дүрліктірген оқиға Алматы облысы Панфилов ауылдық округі әкімінің есеп беру кездесуінде болған, - деп хабарлайды Tengrinews.kz тілшісі."
96,"Алматыда жол құрылысы жұмыстары маусымы басталды. Биыл қалада 70 шақырым жаңа жол салынып, 224 көше жөнделеді. Әкімдік жол жамылғысын нақты"
97,Алматыдағы Республикалық физика-математика мектебі (РФММ) директорының міндетін атқарушы Алмас Ордабаев оқушы қыздың өліміне қатысты пікір білдірді.
98,"Алматыда Отан қорғаушылар күні мен Жеңіс күні қарсаңында жоспарланған іс-шаралар тізімі жарияланды, - деп хабарлайды Tengrinews.kz тілшісі."
99,"Алматы облысының орталығы Қапшағай қаласы болды, ол қазір Қонаев болып өзгертілген. Енді Алматыға баратын тасжол жүктемесі артады деген болжам"
100,"Алматы қаласының прокуратурасы егде жастағы анасын ұрған ер адамның оқиғасына қатысты пікір білдірді, - деп хабарлайды Tengrinews.kz тілшісі."
